Item Code,Short Description,Category,Sub Category,Long Description,Image Name,Retail,Under $1000,$1000+,Weight,UPC,Vendor,Type
AVD-101,Bug Detector with Strength Meter,Bug Detector,,High quality hand held bug detector great for detecting wireless audio/video products. Built-in signal strength meter and sensitivity control. Full detection range from 1 MHz to 3 GHz. ,Click Here for Images,218,157.77,151.68,1.39,747670800034,SafetyTechnology,Surveillance
AVD-110D,DIGITAL HIGH END FREQUENCY COUNTER BUG DETECTOR,Bug Detector,,"This hand-held radio frequency counter is compact truly pocket-sized versatile test instrument designed for measuring any digital on/off keying or analog signal on frequencies between 30 MHz and 2.8 GHz. Supplied as a complete with internal NiCd pack AC wall charger and 7 section telescopic antenna.
Specifications: Impedance: 50 Ohms (BNC Socket) VSWR less than 2.1 Frequency Range: 30 MHz-2.8 GHz Sensitivity: less than 5 mV Max input: 15 dBm Resolution: 10 KHz for digital signals or On/Off Keying & 1 KHz for Analog Signals Time base: Less than 1 PPM at room temperature Weight: 210g Size: 80 mm high x 60 mm wide x 31 mm deep Case: Stamped aluminum with black anodized finish Batter: Internal 4 x AA 600 mAH NiCd pack Power: 9VDC 300 mA
Features: 7 digit Liquid Crystal Display Frequency counter for digital on/off keying and analog signals with a minimum pulse width of 250 uS. Ultra sensitive synchronous detector - 16 section bargraph to show RF signal strength (-35dBm to 0 dBm) Two range positions ñ the 1 GHz position for frequencies between 30 MHz and 1 GHz and the 2.8 GHz position for frequencies between 500 MHz and 2.8 GHz. Squelch adjustment for input signals Hold switch to lock display Low battery indicator Vibrating alert Low power consumption (Average 5 hour battery life) Supplied with NiCd pack AC wall charger and telescopic antenna (143 MHz to 460 MHz) 1 Year Warranty
",Click Here for Images,199,164.35,158.03,1.45,747670800461,SafetyTechnology,Surveillance
BD-127WC,High Resolution Color CMOS Camera with Audio,Professional Cameras,,"Board Cameras are basically a fixed lens mounted onto a circuit board. These convenient covert cameras are often used inside ""mini cameras"" dome cameras and also for making hidden cameras and they are usually sold unpackaged to be mounted by the buyer.

Lenses inside these tiny cameras are either; a full opened lens or a pinhole lens in which the opening of the lens is very small. Pinhole lens cameras are often called ""spy"" cameras and are most often used in making hidden cameras. All of our hidden cameras are examples of hidden board cameras. For example in the Spy Pen there is tiny hole and it looks like a ""pin hole"" and that is where the lens is.

Lenses in board cameras are pre-mounted and have a fixed iris. In most cases they have a short focal length (the distance between the surface of the lens and it's focal point) which results in a wide angle of view. Our board cameras have a lens between 3.6 and 3.7mm.

Because board cameras have some many fixed features they are limited to what they can be used for. However they offer a low cost solution to security needs especially hidden camera situations.

Very small (3/4'' x 3/4'') audio/video camera. High resolution CMOS camera. Finally CMOS technology that virtually matches CCD quality at half the size. Plastic ABS enclosure. 

Specifications:
Image Sensor: 1/3"" CMOS
Resolution: 400 TV Lines
Min. Illumination: 0.5 Lux (b/w) 1 Lux (color)
Lens: 3.7mm(b/w) 6mm (color)
Current Consumption: 26mA Max

Includes:
 9 Volt power supply.

BD-127WC ï $44.00 suggested retail price
Color Wired Camera with Plug & Play
",Click Here for Images,44,29.14,26.54,0.58,747670700211,SafetyTechnology,Surveillance
CS-162TB-AHD,High Definition 16 Channel Surveillance System with 2TB Hard Drive,High Definition Surveillance Systems,,"This IntelliSpy high definition 16 channel surveillance system comes complete with 8 HD dome cameras(DC-AHD60-DN) 8 HD bullet cameras (BC-AHD150-DN) 16 Channel HD DVR with 2 terabyte hard drive installed(AHD-DVR-162TB) 16 HD plug and play 100 foot cables(HD-CA-100) and 16 power adaptors(AC-12500). The complete system makes install a piece of cake. Run the wires mount your cameras set up your DVR plug in all your equipment and you are ready to record in 1080p crisp clear high definition. The quality of these HD cameras and  HD DVR together is amazing. You no longer have to put up with a blurry and grainy image like older analog systems give you. With the  analog (700TVL camera) system it is hard to recognize facial features as the moving object will be blurry and have a trailing image effect. With this HD camera system you get no trailing when an object is moving in the field of view. You can make out license plate numbers and allow you to actually see the face of an intruder all while using the supplied plug and play HD cables. You can store about 3.14 days of constant recoding with the 2TB hard drive. You can increase the time by using motion detection where the DVR will only record when there is motion in the camera field of view. This HD DVR can be connected to the internet which will allow you to view the cameras remotely via smart phone computer or any mobile device from anywhere in the world.  We recommend connecting this HD DVR to an HD TV or HD monitor using an HDMI cable(not included) for best results.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   DVR Features and specifications 
ïVideo Inputs: 16 BNC
ïVideo Outputs: HDMI VGA up to 1080p resolution (1920 x 1080p)
ïAudio Inputs: 16 RCA x 1; Output x 1 RCA
ï Dual Stream Transmission                                                                              
ïAlarm Inputs: 16 channel 1 Alarm output
ïRecording resolution: HD 1080p at 15 frames per second 
ïData Storage up to 10 SATA hard drives maximum up to 8TB 
ïViewing Resolution: HD 1080p live
ï IR remote USB mouse and front panel press button operation
ïMotion detection video blind video loss
ïSmart camera settings: privacy masking camera lock color setting title displays
ïEasy backup methods: USB devices remote network and client software backup   
ï  8 SATA 2 ESATA 2 USB 1RJ45 2TB Hard Drive Installed on this model           ",Click Here for Images,2590.2,1734.93,1612.55,98.35,747670600825,SafetyTechnology,Surveillance
CS-164TB-AHD,High Definition 16 Channel Surveillance System with 4TB Hard Drive,High Definition Surveillance Systems,,"This IntelliSpy high definition 16 channel surveillance system comes complete with 8 HD dome cameras(DC-AHD60-DN) 8 HD bullet cameras (BC-AHD150-DN) 16 Channel HD DVR with 4 terabyte hard drive installed(AHD-DVR-164TB) 16 HD plug and play 100 foot cables(HD-CA-100) and 16 power adaptors(AC-12500). The complete system makes install a piece of cake. Run the wires mount your cameras set up your DVR plug in all your equipment and you are ready to record in 1080p crisp clear high definition. The quality of these HD cameras and  HD DVR together is amazing. You no longer have to put up with a blurry and grainy image like older analog systems give you. With the  analog (700TVL camera) system it is hard to recognize facial features as the moving object will be blurry and have a trailing image effect. With this HD camera system you get no trailing when an object is moving in the field of view. You can make out license plate numbers and allow you to actually see the face of an intruder all while using the supplied plug and play HD cables. You can store about 6.28 days of constant recoding with the 4TB hard drive. You can increase the time by using motion detection where the DVR will only record when there is motion in the camera field of view. This HD DVR can be connected to the internet which will allow you to view the cameras remotely via smart phone computer or any mobile device from anywhere in the world.  We recommend connecting this HD DVR to an HD TV or HD monitor using an HDMI cable(not included) for best results.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 DVR Features and specifications 
ïVideo Inputs: 16 BNC
ïVideo Outputs: HDMI VGA up to 1080p resolution (1920 x 1080p)
ïAudio Inputs: 16 RCA x 1; Output x 1 RCA
ï Dual Stream Transmission                                                                              
ïAlarm Inputs: 16 channel 1 Alarm output
ïRecording resolution: HD 1080p at 15 frames per second 
ïData Storage up to 10 SATA hard drives maximum up to 8TB 
ïViewing Resolution: HD 1080p live
ï IR remote USB mouse and front panel press button operation
ïMotion detection video blind video loss
ïSmart camera settings: privacy masking camera lock color setting title displays
ïEasy backup methods: USB devices remote network and client software backup   
ï  8 SATA 2 ESATA 2 USB 1RJ45 4TB Hard Drive Installed on this model           ",Click Here for Images,2749.2,1843.21,1712.81,98.35,747670600832,SafetyTechnology,Surveillance
CS-41TB-AHD,High Definition 4 Channel Surveillance System with 1TB Hard Drive,High Definition Surveillance Systems,,"This IntelliSpy high definition 4 channel surveillance system comes complete with 2 HD dome cameras(DC-AHD60-DN) 2 HD bullet cameras (BC-AHD150-DN) 4 Channel HD DVR with 1 terabyte hard drive installed(AHD-DVR-41TB) 4 HD plug and play 100 foot cables(HD-CA-100) and 4 power adaptors (AC-12500). The complete system makes install a piece of cake. Run the wires mount your cameras set up your DVR plug in all your equipment and you are ready to record in 1080p crisp clear high definition. The quality of these HD cameras and  HD DVR together is amazing. You no longer have to put up with a blurry and grainy image like older analog systems give you. With the  analog (700TVL camera) system it is hard to recognize facial features as the moving object will be blurry and have a trailing image effect. With this HD camera system you get no trailing when an object is moving in the field of view. You can make out license plate numbers and allow you to actually see the face of an intruder all while using the supplied plug and play HD cables. They are equivalent to a 2.0 megapixel digital camera. You can store about 6.25 days of constant recoding with the 1TB hard drive. You can increase the record time by using motion detection where the DVR will only record when there is motion in the camera field of view. This HD DVR can be connected to the internet which will allow you to view the cameras remotely via smart phone computer or any mobile device from anywhere in the world.  We recommend connecting this HD DVR to an HD TV or HD monitor using an HDMI cable(not included) for best results.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DVR Features and specifications 
ïVideo Inputs: 4 BNC
ïVideo Outputs: HDMI VGA up to 1080p resolution (1920 x 1080p)
ïAudio Inputs: 4 RCA x 1; Output x 1 RCA
ï Dual Stream Transmission                                                                              
ïAlarm Inputs: 4 channel 1 Alarm output
ïRecording resolution: HD 1080p at 15 frames per second 
ïData Storage up to 2 SATA hard drives maximum up to 8TB 
ïViewing Resolution: HD 1080p live
ï IR remote USB mouse and front panel press button operation
ïMotion detection video masking video loss
ïSmart camera settings: privacy masking camera lock color setting title displays
ïEasy backup methods: USB devices remote network and client software backup   
ï  1 SATA 1 ESATA 2 USB 1RJ45 1TB Hard Drive Installed on this model                                                                                                                                                                 ",Click Here for Images,755.8,507.26,471.22,22.85,747670600788,SafetyTechnology,Surveillance
CS-42TB-AHD,High Definition 4 Channel Surveillance System with 2TB Hard Drive,High Definition Surveillance Systems,,"This IntelliSpy high definition 4 channel surveillance system comes complete with 2 HD dome cameras(DC-AHD60-DN) 2 HD bullet cameras (BC-AHD150-DN) 4 Channel HD DVR with 2 terabyte hard drive installed(AHD-DVR-42TB) 4 HD plug and play 100 foot cables(HD-CA-100) and 4 power adaptors (AC-12500). The complete system makes install a piece of cake. Run the wires mount your cameras set up your DVR plug in all your equipment and you are ready to record in 1080p crisp clear high definition. The quality of these HD cameras and  HD DVR together is amazing. You no longer have to put up with a blurry and grainy image like older analog systems give you. With the  analog (700TVL camera) system it is hard to recognize facial features as the moving object will be blurry and have a trailing image effect. With this HD camera system you get no trailing when an object is moving in the field of view. You can make out license plate numbers and allow you to actually see the face of an intruder all while using the supplied plug and play HD cables. They are equivalent to a 2.0 megapixel digital camera. You can store about 12.5 days of constant recoding with the 2TB hard drive. You can increase the record time by using motion detection where the DVR will only record when there is motion in the camera field of view. This HD DVR can be connected to the internet which will allow you to view the cameras remotely via smart phone computer or any mobile device from anywhere in the world.  We recommend connecting this HD DVR to an HD TV or HD monitor using an HDMI cable(not included) for best results.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          DVR Features and specifications 
ïVideo Inputs: 4 BNC
ïVideo Outputs: HDMI VGA up to 1080p resolution (1920 x 1080p)
ïAudio Inputs: 4 RCA x 1; Output x 1 RCA
ï Dual Stream Transmission                                                                              
ïAlarm Inputs: 4 channel 1 Alarm output
ïRecording resolution: HD 1080p at 15 frames per second 
ïData Storage up to 2 SATA hard drives maximum up to 8TB 
ïViewing Resolution: HD 1080p live
ï IR remote USB mouse and front panel press button operation
ïMotion detection video masking video loss
ïSmart camera settings: privacy masking camera lock color setting title displays
ïEasy backup methods: USB devices remote network and client software backup   
ï  1 SATA 1 ESATA 2 USB 1RJ45 2TB Hard Drive Installed on this model                                                                                                                                                                 ",Click Here for Images,832.8,559.62,519.7,22.85,747670600795,SafetyTechnology,Surveillance
CS-82TB-AHD,High Definition 8 Channel Surveillance System with 2TB Hard Drive,High Definition Surveillance Systems,,"This IntelliSpy high definition 8 channel surveillance system comes complete with 4 HD dome cameras(DC-AHD60-DN) 4 HD bullet cameras (BC-AHD150-DN) 8 Channel HD DVR with 2 terabyte hard drive installed(AHD-DVR-82TB) 8 HD plug and play 100 foot cables(HD-CA-100) and  8 power adaptors(AC-12500). The complete system makes install a piece of cake. Run the wires mount your cameras set up your DVR plug in all your equipment and you are ready to record in 1080p crisp clear high definition. The quality of these HD cameras and  HD DVR together is amazing. You no longer have to put up with a blurry and grainy image like older analog systems give you. With the  analog (700TVL camera) system it is hard to recognize facial features as the moving object will be blurry and have a trailing image effect. With this HD camera system you get no trailing when an object is moving in the field of view. You can make out license plate numbers and allow you to actually see the face of an intruder all while using the supplied plug and play HD cables. You can store about 6.26 days of constant recoding with the 2TB hard drive. You can increase the record time by using motion detection where the DVR will only record when there is motion in the camera field of view. This HD DVR can be connected to the internet which will allow you to view the cameras remotely via smart phone computer or any mobile device from anywhere in the world.  We recommend connecting this HD DVR to an HD TV or HD monitor using an HDMI cable(not included) for best results.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  DVR Features and specifications 
ïVideo Inputs: 8 BNC
ïVideo Outputs: HDMI VGA up to 1080p resolution (1920 x 1080p)
ïAudio Inputs: N/A no audio
ï Dual Stream Transmission                                                                              
ïAlarm Inputs: 4 channel 1 Alarm output
ïRecording resolution: HD 1080p at 15 frames per second 
ïData Storage up to 3 SATA hard drives maximum up to 12TB 
ïViewing Resolution: HD 1080p live
ï IR remote USB mouse and front panel press button operation
ïMotion detection video masking video loss
ïSmart camera settings: privacy masking camera lock color setting title displays
ïEasy backup methods: USB devices remote network and client software backup   
ï  2 SATA 1 ESATA 2 USB 1RJ45 2TB Hard Drive Installed on this model                                                                                                                                                                ",Click Here for Images,1367.6,916.24,851.44,43.8,747670600801,SafetyTechnology,Surveillance
CS-84TB-AHD,High Definition 8 Channel Surveillance System with 4TB Hard Drive,High Definition Surveillance Systems,,"This IntelliSpy high definition 8 channel surveillance system comes complete with 4 HD dome cameras(DC-AHD60-DN) 4 HD bullet cameras (BC-AHD150-DN) 8 Channel HD DVR with 4 terabyte hard drive installed(AHD-DVR-84TB) 8 HD plug and play 100 foot cables(HD-CA-100) and  8 power adaptors(AC-12500). The complete system makes install a piece of cake. Run the wires mount your cameras set up your DVR plug in all your equipment and you are ready to record in 1080p crisp clear high definition. The quality of these HD cameras and  HD DVR together is amazing. You no longer have to put up with a blurry and grainy image like older analog systems give you. With the  analog (700TVL camera) system it is hard to recognize facial features as the moving object will be blurry and have a trailing image effect. With this HD camera system you get no trailing when an object is moving in the field of view. You can make out license plate numbers and allow you to actually see the face of an intruder all while using the supplied plug and play HD cables. You can store about 12.52 days of constant recoding with the 4TB hard drive. You can increase the record time by using motion detection where the DVR will only record when there is motion in the camera field of view. This HD DVR can be connected to the internet which will allow you to view the cameras remotely via smart phone computer or any mobile device from anywhere in the world.  We recommend connecting this HD DVR to an HD TV or HD monitor using an HDMI cable(not included) for best results.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           DVR Features and specifications 
ïVideo Inputs: 8 BNC
ïVideo Outputs: HDMI VGA up to 1080p resolution (1920 x 1080p)
ïAudio Inputs: N/A no audio
ï Dual Stream Transmission                                                                              
ïAlarm Inputs: 4 channel 1 Alarm output
ïRecording resolution: HD 1080p at 15 frames per second 
ïData Storage up to 3 SATA hard drives maximum up to 12TB 
ïViewing Resolution: HD 1080p live
ï IR remote USB mouse and front panel press button operation
ïMotion detection video masking video loss
ïSmart camera settings: privacy masking camera lock color setting title displays
ïEasy backup methods: USB devices remote network and client software backup   
ï  2 SATA 1 ESATA 2 USB 1RJ45 4TB Hard Drive Installed on this model                                                                                                                                                                ",Click Here for Images,1525.6,1024.53,951.71,43.8,747670600818,SafetyTechnology,Surveillance
CS-HDPANO,1280P HD Fish Eye 3.0 MP Camera with Wi-Fi and DVR ,High Definition Surveillance Systems,," The IntelliSpy 1280P HD Fish Eye 3.0 MP IP Camera with Wi-Fi and DVR is easy to install and operate. It is a standalone unit. Install the camera in the area you want to monitor plug it in to power and enjoy a 360 degree view of the area in high definition with the fisheye 3 megapixel camera. This system is just about perfect for anyone. You can use this in your home to keep an eye on your pets children and property. It is also perfect for warehouses convenience stores clubs and offices. It has 3 IR leds for a range of 30 feet when using night vision. The 1280p camera has a crisp clear panoramic view and has motion detection recording capability. Motion detection recording helps to save storage space since it will only record when there is motion. It makes it easier to find an event rather than skimming through hours of uneventful video footage. It has a wireless range of 180 feet through walls this will be less. The camera has a built in DVR and comes with a 64GB Micro SD card installed and can record 128 hours(about 5.3 days) of video footage.  That is right this is a self contained unit only 1 piece of equipment to set up. When using the motion detection function the record time will increase. It has a built in microphone and speaker to record audio. You can listen via the remote app and also speak into your phone for someone to hear you through he camera. This system Connects easily to your internet so you can view the system from anywhere in the world. Can be set up in less than 3 minutes to your wireless network. When viewing remotely through the app you can view a full 360 degree view of the area under surveillance. The remote app supports electronic PTZ so you can get a better look at the viewing area. It also supports 4 kinds of 3D viewing Audio and works with Android and IOS with the VR Cam app from the app store. This camera is simply amazing  and easy to set up and operate. Mounts on ceiling or wall with 3 screws(screws not included).  Not meant for outdoors. No additional cameras can be added to this system. Features: 1.1 mm fish lens Visual angle 180∞ IR Night Vision distance: 30 feet 3pcs Array Leds 3.0mp lens H .264 Video Compression Max SD card support 128GB Audio and Speaker supports Wi-Fi. Includes: 3.0MP Camera and DVR Power Supply Manual and 64GB SD Card Installed.                                                      
",Click Here for Images,195.95,121.68,117,1.4,747670600856,SafetyTechnology,Surveillance
